model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,3-1,5-0,BUY,0.0582,0.032,0.0262,0.0,-0.032
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,4-0,5-0,SELL,0.0378,0.2,-0.1622,0.0,0.2
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,4-1,5-0,SELL,0.0281,0.072,-0.0439,0.0,0.072
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,5-0,5-0,SELL,0.0139,0.192,-0.1781,1.0,-0.808
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,5-1,5-0,SELL,0.0107,0.072,-0.0613,0.0,0.072
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,6-0,5-0,SELL,0.0043,0.088,-0.0837,0.0,0.088
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,6-1,5-0,SELL,0.0034,0.04,-0.0366,0.0,0.04
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,7-0,5-0,SELL,0.0012,0.04,-0.0388,0.0,0.04
M3 NegBin+Frank,26JUN23PORUZB,Portugal vs Uzbekistan,7-1,5-0,SELL,0.0009,0.024,-0.0231,0.0,0.024
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,1-0,5-0,BUY,0.0695,0.008,0.0615,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,1-1,5-0,BUY,0.0407,0.008,0.0327,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,2-0,5-0,BUY,0.1048,0.008,0.0968,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,2-1,5-0,BUY,0.0687,0.008,0.0607,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,3-1,5-0,BUY,0.0782,0.032,0.0462,0.0,-0.032
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,3-2,5-0,BUY,0.0291,0.008,0.0211,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,4-0,5-0,SELL,0.077,0.2,-0.123,0.0,0.2
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,5-0,5-0,SELL,0.047,0.192,-0.145,1.0,-0.808
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,5-1,5-0,SELL,0.0445,0.072,-0.0275,0.0,0.072
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,6-0,5-0,SELL,0.0247,0.088,-0.0633,0.0,0.088
M4 NegBin+Frank (calib 1X2),26JUN23PORUZB,Portugal vs Uzbekistan,7-0,5-0,SELL,0.0114,0.04,-0.0286,0.0,0.04
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,0-0,5-0,BUY,0.1045,0.008,0.0965,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,0-1,5-0,BUY,0.0425,0.016,0.0265,0.0,-0.016
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,1-0,5-0,BUY,0.1785,0.008,0.1705,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,1-1,5-0,BUY,0.0857,0.008,0.0777,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,2-0,5-0,BUY,0.1496,0.008,0.1416,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,2-1,5-0,BUY,0.0878,0.008,0.0798,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,3-1,5-0,BUY,0.0582,0.032,0.0262,0.0,-0.032
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,4-0,5-0,SELL,0.0378,0.2,-0.1622,0.0,0.2
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,4-1,5-0,SELL,0.0281,0.072,-0.0439,0.0,0.072
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,5-0,5-0,SELL,0.0139,0.192,-0.1781,1.0,-0.808
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,5-1,5-0,SELL,0.0107,0.072,-0.0613,0.0,0.072
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,6-0,5-0,SELL,0.0043,0.088,-0.0837,0.0,0.088
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,6-1,5-0,SELL,0.0034,0.04,-0.0366,0.0,0.04
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,7-0,5-0,SELL,0.0012,0.04,-0.0388,0.0,0.04
M5 NegBin+Frank (calib 1X2+O/U),26JUN23PORUZB,Portugal vs Uzbekistan,7-1,5-0,SELL,0.0009,0.024,-0.0231,0.0,0.024
M3 NegBin+Frank,26JUN23COLCOD,Colombia vs Congo DR,0-0,1-0,BUY,0.2198,0.1913,0.0285,0.0,-0.1913
M3 NegBin+Frank,26JUN23COLCOD,Colombia vs Congo DR,1-0,1-0,SELL,0.206,0.2609,-0.0549,1.0,-0.7391
M3 NegBin+Frank,26JUN23COLCOD,Colombia vs Congo DR,1-1,1-0,BUY,0.1191,0.0783,0.0408,0.0,-0.0783
M3 NegBin+Frank,26JUN23COLCOD,Colombia vs Congo DR,1-2,1-0,BUY,0.0336,0.0087,0.0249,0.0,-0.0087
M3 NegBin+Frank,26JUN23COLCOD,Colombia vs Congo DR,2-0,1-0,SELL,0.0982,0.1391,-0.0409,0.0,0.1391
M4 NegBin+Frank (calib 1X2),26JUN23COLCOD,Colombia vs Congo DR,0-0,1-0,BUY,0.2198,0.1913,0.0285,0.0,-0.1913
M5 NegBin+Frank (calib 1X2+O/U),26JUN23COLCOD,Colombia vs Congo DR,0-0,1-0,BUY,0.3683,0.1913,0.177,0.0,-0.1913
M5 NegBin+Frank (calib 1X2+O/U),26JUN23COLCOD,Colombia vs Congo DR,0-1,1-0,SELL,0.0496,0.0783,-0.0287,0.0,0.0783
M5 NegBin+Frank (calib 1X2+O/U),26JUN23COLCOD,Colombia vs Congo DR,1-0,1-0,BUY,0.3024,0.2609,0.0415,1.0,0.7391
M5 NegBin+Frank (calib 1X2+O/U),26JUN23COLCOD,Colombia vs Congo DR,1-1,1-0,SELL,0.0555,0.0783,-0.0228,0.0,0.0783
M5 NegBin+Frank (calib 1X2+O/U),26JUN23COLCOD,Colombia vs Congo DR,2-1,1-0,SELL,0.0284,0.0609,-0.0325,0.0,0.0609
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,0-0,2-1,SELL,0.1186,0.2377,-0.1191,0.0,0.2377
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,0-1,2-1,SELL,0.0839,0.1393,-0.0554,0.0,0.1393
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,1-2,2-1,BUY,0.0531,0.0328,0.0204,0.0,-0.0328
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,2-0,2-1,BUY,0.0889,0.0574,0.0315,0.0,-0.0574
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,2-1,2-1,BUY,0.0911,0.041,0.0501,1.0,0.959
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,2-2,2-1,BUY,0.044,0.0082,0.0358,0.0,-0.0082
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,3-0,2-1,BUY,0.0382,0.0082,0.03,0.0,-0.0082
M3 NegBin+Frank,26JUN24SUICAN,Switzerland vs Canada,3-1,2-1,BUY,0.0435,0.0164,0.0271,0.0,-0.0164
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,0-0,2-1,SELL,0.1247,0.2377,-0.113,0.0,0.2377
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,0-1,2-1,SELL,0.1053,0.1393,-0.0341,0.0,0.1393
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,1-0,2-1,SELL,0.1289,0.1639,-0.035,0.0,0.1639
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,1-2,2-1,BUY,0.067,0.0328,0.0342,0.0,-0.0328
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,2-1,2-1,BUY,0.0817,0.041,0.0407,1.0,0.959
M4 NegBin+Frank (calib 1X2),26JUN24SUICAN,Switzerland vs Canada,2-2,2-1,BUY,0.0471,0.0082,0.0389,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,0-0,2-1,SELL,0.063,0.2377,-0.1747,0.0,0.2377
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,0-1,2-1,SELL,0.0714,0.1393,-0.068,0.0,0.1393
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,1-0,2-1,SELL,0.0874,0.1639,-0.0765,0.0,0.1639
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,1-2,2-1,BUY,0.0724,0.0328,0.0397,0.0,-0.0328
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,1-3,2-1,BUY,0.0317,0.0082,0.0235,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,2-1,2-1,BUY,0.0886,0.041,0.0476,1.0,0.959
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,2-2,2-1,BUY,0.0649,0.0082,0.0567,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,2-3,2-1,BUY,0.0307,0.0082,0.0225,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,3-0,2-1,BUY,0.0284,0.0082,0.0202,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,3-1,2-1,BUY,0.0463,0.0164,0.03,0.0,-0.0164
M5 NegBin+Frank (calib 1X2+O/U),26JUN24SUICAN,Switzerland vs Canada,3-2,2-1,BUY,0.0373,0.0082,0.0291,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,0-0,3-1,BUY,0.0809,0.0082,0.0727,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,0-1,3-1,BUY,0.0434,0.0164,0.027,0.0,-0.0164
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,1-0,3-1,BUY,0.1461,0.0082,0.1379,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,1-1,3-1,BUY,0.0906,0.0082,0.0824,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-0,3-1,BUY,0.1284,0.0082,0.1202,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-1,3-1,SELL,0.0958,0.1311,-0.0354,0.0,0.1311
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-2,3-1,SELL,0.0346,0.082,-0.0474,0.0,0.082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-0,3-1,BUY,0.0765,0.0082,0.0683,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-1,3-1,SELL,0.0661,0.1639,-0.0978,1.0,-0.8361
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-2,3-1,SELL,0.0261,0.1148,-0.0887,0.0,0.1148
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-3,3-1,SELL,0.0065,0.041,-0.0345,0.0,0.041
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-0,3-1,BUY,0.0357,0.0082,0.0275,0.0,-0.0082
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-1,3-1,SELL,0.0336,0.1148,-0.0812,0.0,0.1148
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-2,3-1,SELL,0.014,0.0656,-0.0516,0.0,0.0656
M3 NegBin+Frank,26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,5-1,3-1,SELL,0.0135,0.0492,-0.0356,0.0,0.0492
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,0-0,3-1,BUY,0.0638,0.0082,0.0556,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,1-0,3-1,BUY,0.1449,0.0082,0.1367,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,1-1,3-1,BUY,0.0576,0.0082,0.0494,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-0,3-1,BUY,0.1612,0.0082,0.153,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-1,3-1,SELL,0.0765,0.1311,-0.0547,0.0,0.1311
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-2,3-1,SELL,0.0184,0.082,-0.0636,0.0,0.082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-3,3-1,SELL,0.0031,0.0246,-0.0215,0.0,0.0246
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-0,3-1,BUY,0.1195,0.0082,0.1113,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-1,3-1,SELL,0.0672,0.1639,-0.0967,1.0,-0.8361
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-2,3-1,SELL,0.0174,0.1148,-0.0974,0.0,0.1148
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-3,3-1,SELL,0.0029,0.041,-0.038,0.0,0.041
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-0,3-1,BUY,0.068,0.0082,0.0598,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-1,3-1,SELL,0.0431,0.1148,-0.0717,0.0,0.1148
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-2,3-1,SELL,0.0118,0.0656,-0.0538,0.0,0.0656
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,5-0,3-1,BUY,0.0319,0.0082,0.0237,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,5-1,3-1,SELL,0.0216,0.0492,-0.0276,0.0,0.0492
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,1-2,3-1,SELL,0.0029,0.0246,-0.0217,0.0,0.0246
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-0,3-1,BUY,0.0621,0.0082,0.0539,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-1,3-1,SELL,0.0275,0.1311,-0.1036,0.0,0.1311
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-2,3-1,SELL,0.0071,0.082,-0.0749,0.0,0.082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2-3,3-1,SELL,0.0014,0.0246,-0.0232,0.0,0.0246
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-0,3-1,BUY,0.0937,0.0082,0.0855,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-1,3-1,SELL,0.0455,0.1639,-0.1184,1.0,-0.8361
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-2,3-1,SELL,0.0121,0.1148,-0.1026,0.0,0.1148
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,3-3,3-1,SELL,0.0023,0.041,-0.0386,0.0,0.041
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-0,3-1,BUY,0.105,0.0082,0.0968,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-1,3-1,SELL,0.0575,0.1148,-0.0572,0.0,0.1148
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,4-2,3-1,SELL,0.0162,0.0656,-0.0494,0.0,0.0656
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,5-0,3-1,BUY,0.094,0.0082,0.0858,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,6-0,3-1,BUY,0.0709,0.0082,0.0627,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,6-1,3-1,BUY,0.049,0.0164,0.0326,0.0,-0.0164
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,0-0,4-2,BUY,0.1252,0.0076,0.1175,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,0-1,4-2,BUY,0.0282,0.0076,0.0205,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,1-0,4-2,BUY,0.2206,0.0076,0.2129,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,1-1,4-2,BUY,0.0591,0.0076,0.0515,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,2-0,4-2,BUY,0.1922,0.0076,0.1846,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,2-1,4-2,BUY,0.0639,0.0076,0.0563,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,2-2,4-2,SELL,0.0102,0.1069,-0.0967,0.0,0.1069
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,2-3,4-2,SELL,0.0011,0.0534,-0.0524,0.0,0.0534
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,3-0,4-2,BUY,0.1131,0.0076,0.1055,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,3-1,4-2,BUY,0.0444,0.0076,0.0367,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,3-2,4-2,SELL,0.0074,0.1832,-0.1758,0.0,0.1832
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,3-3,4-2,SELL,0.0008,0.0763,-0.0755,0.0,0.0763
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,4-0,4-2,BUY,0.0513,0.0076,0.0436,0.0,-0.0076
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,4-2,4-2,SELL,0.0038,0.1298,-0.126,1.0,-0.8702
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,4-3,4-2,SELL,0.0004,0.0687,-0.0683,0.0,0.0687
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,5-2,4-2,SELL,0.0015,0.0611,-0.0596,0.0,0.0611
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,6-2,4-2,SELL,0.0005,0.0229,-0.0224,0.0,0.0229
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,5-3,4-2,SELL,0.0002,0.0382,-0.038,0.0,0.0382
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,2-4,4-2,SELL,0.0001,0.0687,-0.0686,0.0,0.0687
M3 NegBin+Frank,26JUN24MARHTI,Morocco vs Haiti,3-4,4-2,SELL,0.0001,0.0305,-0.0305,0.0,0.0305
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,0-0,4-2,BUY,0.0418,0.0076,0.0342,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,1-0,4-2,BUY,0.104,0.0076,0.0964,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,1-1,4-2,BUY,0.0602,0.0076,0.0525,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,2-0,4-2,BUY,0.1255,0.0076,0.1178,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,2-1,4-2,BUY,0.0843,0.0076,0.0767,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,2-2,4-2,SELL,0.0288,0.1069,-0.0781,0.0,0.1069
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,2-3,4-2,SELL,0.0068,0.0534,-0.0466,0.0,0.0534
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,3-0,4-2,BUY,0.1002,0.0076,0.0926,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,3-1,4-2,BUY,0.0787,0.0076,0.0711,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,3-2,4-2,SELL,0.0294,0.1832,-0.1538,0.0,0.1832
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,3-3,4-2,SELL,0.0072,0.0763,-0.0691,0.0,0.0763
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,4-0,4-2,BUY,0.0613,0.0076,0.0537,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,4-1,4-2,BUY,0.0542,0.0076,0.0466,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,4-2,4-2,SELL,0.0218,0.1298,-0.108,1.0,-0.8702
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,4-3,4-2,SELL,0.0055,0.0687,-0.0632,0.0,0.0687
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,5-0,4-2,BUY,0.0311,0.0076,0.0235,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,5-1,4-2,BUY,0.0295,0.0076,0.0219,0.0,-0.0076
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,5-2,4-2,SELL,0.0124,0.0611,-0.0486,0.0,0.0611
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,5-3,4-2,SELL,0.0032,0.0382,-0.035,0.0,0.0382
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,2-4,4-2,SELL,0.0013,0.0687,-0.0674,0.0,0.0687
M4 NegBin+Frank (calib 1X2),26JUN24MARHTI,Morocco vs Haiti,3-4,4-2,SELL,0.0013,0.0305,-0.0292,0.0,0.0305
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,0-0,4-2,BUY,0.1252,0.0076,0.1175,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,0-1,4-2,BUY,0.0282,0.0076,0.0205,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,1-0,4-2,BUY,0.2206,0.0076,0.2129,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,1-1,4-2,BUY,0.0591,0.0076,0.0515,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,2-0,4-2,BUY,0.1922,0.0076,0.1846,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,2-1,4-2,BUY,0.0639,0.0076,0.0563,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,2-2,4-2,SELL,0.0102,0.1069,-0.0967,0.0,0.1069
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,2-3,4-2,SELL,0.0011,0.0534,-0.0524,0.0,0.0534
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,3-0,4-2,BUY,0.1131,0.0076,0.1055,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,3-1,4-2,BUY,0.0444,0.0076,0.0367,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,3-2,4-2,SELL,0.0074,0.1832,-0.1758,0.0,0.1832
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,3-3,4-2,SELL,0.0008,0.0763,-0.0755,0.0,0.0763
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,4-0,4-2,BUY,0.0513,0.0076,0.0436,0.0,-0.0076
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,4-2,4-2,SELL,0.0038,0.1298,-0.126,1.0,-0.8702
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,4-3,4-2,SELL,0.0004,0.0687,-0.0683,0.0,0.0687
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,5-2,4-2,SELL,0.0015,0.0611,-0.0596,0.0,0.0611
M5 NegBin+Frank (calib 1X2+O/U),26JUN24MARHTI,Morocco vs Haiti,6-2,4-2,SELL,0.0005,0.0229,-0.0224,0.0,0.0229
