series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN21ESPKSA,Spain vs Saudi Arabia,2026-06-21T17:51:51.120000+00:00,2026-06-21T15:51:51+00:00,KXWCGAME-26JUN21ESPKSA-KSA,Saudi Arabia,0.05,0.05,20.0,0.04,0.05,no,finalized,781122.16
KXWCGAME,KXWCGAME-26JUN21ESPKSA,Spain vs Saudi Arabia,2026-06-21T17:51:51.120000+00:00,2026-06-21T15:51:51+00:00,KXWCGAME-26JUN21ESPKSA-TIE,Tie,0.07,0.07,14.286,0.07,0.08,no,finalized,362865.21
KXWCGAME,KXWCGAME-26JUN21TUNJPN,Tunisia vs Japan,2026-06-21T05:46:45.057000+00:00,2026-06-21T03:46:45+00:00,KXWCGAME-26JUN21TUNJPN-TUN,Tunisia,0.11,0.11,9.091,0.1,0.11,no,finalized,1801221.79
KXWCGAME,KXWCGAME-26JUN21TUNJPN,Tunisia vs Japan,2026-06-21T05:46:45.057000+00:00,2026-06-21T03:46:45+00:00,KXWCGAME-26JUN21TUNJPN-JPN,Japan,0.7,0.7,1.429,0.69,0.7,yes,finalized,3535652.83
KXWCGAME,KXWCGAME-26JUN21TUNJPN,Tunisia vs Japan,2026-06-21T05:46:45.057000+00:00,2026-06-21T03:46:45+00:00,KXWCGAME-26JUN21TUNJPN-TIE,Tie,0.21,0.21,4.762,0.2,0.21,no,finalized,658731.27
KXWCGAME,KXWCGAME-26JUN20ECUCUW,Ecuador vs Curacao,2026-06-21T01:46:14.727000+00:00,2026-06-20T23:46:14+00:00,KXWCGAME-26JUN20ECUCUW-ECU,Ecuador,0.85,0.85,1.176,0.84,0.85,no,finalized,2202709.98
KXWCGAME,KXWCGAME-26JUN20ECUCUW,Ecuador vs Curacao,2026-06-21T01:46:14.727000+00:00,2026-06-20T23:46:14+00:00,KXWCGAME-26JUN20ECUCUW-CUW,Curacao,0.06,0.06,16.667,0.05,0.06,no,finalized,5307570.62
KXWCGAME,KXWCGAME-26JUN20ECUCUW,Ecuador vs Curacao,2026-06-21T01:46:14.727000+00:00,2026-06-20T23:46:14+00:00,KXWCGAME-26JUN20ECUCUW-TIE,Tie,0.11,0.11,9.091,0.1,0.11,yes,finalized,1461191.30
KXWCGAME,KXWCGAME-26JUN20GERCIV,Germany vs Ivory Coast,2026-06-20T21:50:49.159000+00:00,2026-06-20T19:50:49+00:00,KXWCGAME-26JUN20GERCIV-GER,Germany,0.7,0.7,1.429,0.69,0.7,yes,finalized,4280870.81
KXWCGAME,KXWCGAME-26JUN20GERCIV,Germany vs Ivory Coast,2026-06-20T21:50:49.159000+00:00,2026-06-20T19:50:49+00:00,KXWCGAME-26JUN20GERCIV-CIV,Ivory Coast,0.13,0.13,7.692,0.12,0.13,no,finalized,6839378.39
KXWCGAME,KXWCGAME-26JUN20GERCIV,Germany vs Ivory Coast,2026-06-20T21:50:49.159000+00:00,2026-06-20T19:50:49+00:00,KXWCGAME-26JUN20GERCIV-TIE,Tie,0.19,0.19,5.263,0.18,0.19,no,finalized,2189654.24
KXWCGAME,KXWCGAME-26JUN20NEDSWE,Netherlands vs Sweden,2026-06-20T20:00:00+00:00,2026-06-20T18:00:00+00:00,KXWCGAME-26JUN20NEDSWE-NED,Netherlands,0.93,0.93,1.075,0.92,0.93,yes,finalized,5839599.02
KXWCGAME,KXWCGAME-26JUN20NEDSWE,Netherlands vs Sweden,2026-06-20T20:00:00+00:00,2026-06-20T18:00:00+00:00,KXWCGAME-26JUN20NEDSWE-SWE,Sweden,0.01,0.01,100.0,0.01,0.02,no,finalized,6128293.30
KXWCGAME,KXWCGAME-26JUN20NEDSWE,Netherlands vs Sweden,2026-06-20T20:00:00+00:00,2026-06-20T18:00:00+00:00,KXWCGAME-26JUN20NEDSWE-TIE,Tie,0.07,0.07,14.286,0.06,0.07,no,finalized,2882269.35
KXWCGAME,KXWCGAME-26JUN19TURPAR,Turkiye vs Paraguay,2026-06-20T06:00:00+00:00,2026-06-20T04:00:00+00:00,KXWCGAME-26JUN19TURPAR-TUR,Turkiye,0.38,0.38,2.632,0.38,0.39,no,finalized,10324125.68
KXWCGAME,KXWCGAME-26JUN19TURPAR,Turkiye vs Paraguay,2026-06-20T06:00:00+00:00,2026-06-20T04:00:00+00:00,KXWCGAME-26JUN19TURPAR-PAR,Paraguay,0.3,0.3,3.333,0.29,0.3,yes,finalized,6423906.32
